package,in_degree,betweenness,is_top100
@aws-sdk/types,0,0.000000,True
@babel/code-frame,4,0.000183,True
@babel/core,0,0.000000,True
@babel/generator,2,0.000136,True
@babel/helper-compilation-targets,1,0.000000,False
@babel/helper-globals,1,0.000000,False
@babel/helper-module-transforms,1,0.000000,False
@babel/helper-string-parser,1,0.000000,True
@babel/helper-validator-identifier,2,0.000000,True
@babel/helpers,1,0.000000,False
@babel/parser,4,0.000000,True
@babel/runtime,0,0.000000,True
@babel/template,2,0.000000,True
@babel/traverse,1,0.000014,True
@babel/types,5,0.000115,True
@dataform/core,0,0.000000,True
@isaacs/brace-expansion,1,0.000000,False
@isaacs/cliui,1,0.000000,False
@jest/pattern,1,0.000000,False
@jest/schemas,2,0.000000,False
@jest/types,1,0.000163,True
@jridgewell/gen-mapping,1,0.000020,True
@jridgewell/remapping,1,0.000000,False
@jridgewell/resolve-uri,1,0.000000,False
@jridgewell/sourcemap-codec,2,0.000000,True
@jridgewell/trace-mapping,2,0.000075,True
@nodelib/fs.stat,1,0.000000,False
@nodelib/fs.walk,1,0.000000,False
@sec-ant/readable-stream,1,0.000000,False
@sindresorhus/merge-streams,2,0.000000,False
@smithy/types,1,0.000000,True
@smithy/util-buffer-from,1,0.000000,False
@smithy/util-utf8,0,0.000000,True
@types/estree,0,0.000000,True
@types/istanbul-lib-coverage,1,0.000000,False
@types/istanbul-reports,1,0.000000,False
@types/json-schema,1,0.000000,False
@types/node,3,0.000041,True
@types/yargs,1,0.000041,True
@types/yargs-parser,1,0.000000,False
@ungap/structured-clone,1,0.000000,False
abort-controller,1,0.000000,False
acorn,0,0.000000,True
agent-base,2,0.000000,True
ajv,1,0.000054,True
ajv-formats,1,0.000000,False
ajv-keywords,1,0.000000,False
ansi-escapes,0,0.000000,True
ansi-regex,1,0.000000,True
ansi-styles,2,0.000000,True
anymatch,0,0.000000,True
argparse,1,0.000000,True
async,0,0.000000,True
asynckit,1,0.000000,False
axios,0,0.000000,True
balanced-match,1,0.000000,True
base64-js,1,0.000000,False
baseline-browser-mapping,1,0.000000,False
brace-expansion,0,0.000000,True
braces,1,0.000122,True
browserslist,0,0.000000,True
buffer,1,0.000027,True
buffer-from,1,0.000000,False
call-bind-apply-helpers,1,0.000000,False
callsites,0,0.000000,True
camelcase,0,0.000000,True
caniuse-lite,1,0.000000,True
chalk,2,0.000000,True
chokidar,0,0.000000,True
ci-info,1,0.000000,True
cliui,1,0.000041,True
color-convert,0,0.000000,True
color-name,1,0.000000,True
combined-stream,1,0.000000,False
commander,0,0.000000,True
concat-map,0,0.000000,True
convert-source-map,1,0.000000,True
cookie,0,0.000000,True
cosmiconfig,0,0.000000,True
cross-spawn,1,0.000061,True
cssesc,1,0.000000,False
data-uri-to-buffer,1,0.000000,False
debug,4,0.000054,True
depd,1,0.000000,True
doctrine,0,0.000000,True
dotenv,0,0.000000,True
electron-to-chromium,1,0.000000,True
emoji-regex,0,0.000000,True
encodeurl,0,0.000000,True
entities,0,0.000000,True
env-paths,1,0.000000,False
environment,1,0.000000,False
es-define-property,1,0.000000,True
es-errors,2,0.000000,True
es-object-atoms,1,0.000000,True
es-set-tostringtag,1,0.000000,False
esbuild,0,0.000000,True
escalade,1,0.000000,True
escape-string-regexp,0,0.000000,True
eslint-scope,0,0.000000,True
eslint-visitor-keys,0,0.000000,True
esrecurse,1,0.000000,False
estraverse,1,0.000000,True
esutils,1,0.000000,False
events,1,0.000000,False
execa,0,0.000000,True
fast-deep-equal,1,0.000000,True
fast-glob,1,0.000163,True
fast-uri,1,0.000000,False
fetch-blob,1,0.000000,False
figures,1,0.000000,False
fill-range,1,0.000109,True
find-up,0,0.000000,True
find-up-simple,1,0.000000,False
follow-redirects,1,0.000000,False
foreground-child,1,0.000000,False
form-data,1,0.000095,True
