package,in_degree,out_degree,betweenness,is_topN
@7nohe/openapi-react-query-codegen,0,1,0.000000,True
@ag-grid-community/react,0,1,0.000000,True
@ai-sdk/provider-utils,1,0,0.000000,False
@ai-sdk/react,1,4,0.000000,True
@alcalzone/ansi-tokenize,1,0,0.000000,False
@algolia/autocomplete-core,1,0,0.000000,False
@amplitude/analytics-core,1,0,0.000000,False
@amplitude/analytics-react-native,0,4,0.000000,True
@amplitude/ua-parser-js,1,0,0.000000,False
@ant-design/fast-color,1,0,0.000000,False
@ant-design/react-slick,0,5,0.000000,True
@apollo/client,5,0,0.000000,False
@apollo/react-common,1,2,0.000000,True
@apollo/react-components,1,1,0.000000,True
@apollo/react-hoc,1,1,0.000000,True
@apollo/react-hooks,1,1,0.000000,True
@apollo/react-ssr,1,1,0.000000,True
@apollo/react-testing,0,1,0.000000,True
@ariakit/core,1,0,0.000000,False
@ariakit/react,0,1,0.000000,True
@ariakit/react-core,1,3,0.000000,True
@ark-ui/react,1,0,0.000000,False
@assistant-ui/react,0,17,0.000000,True
@assistant-ui/react-markdown,0,5,0.000000,True
@assistant-ui/tap,1,0,0.000000,False
@astrojs/react,0,3,0.000000,True
@asyncapi/avro-schema-parser,1,0,0.000000,False
@asyncapi/generator-react-sdk,0,10,0.000000,True
@asyncapi/openapi-schema-parser,1,0,0.000000,False
@asyncapi/parser,2,0,0.000000,False
@asyncapi/protobuf-schema-parser,1,0,0.000000,False
@asyncapi/react-component,0,10,0.000000,True
@atlaskit/pragmatic-drag-and-drop,1,0,0.000000,False
@atlaskit/pragmatic-drag-and-drop-react-beautiful-dnd-migration,1,0,0.000000,False
@auth0/auth0-react,0,1,0.000000,True
@auth0/auth0-spa-js,2,0,0.000000,False
@aws-amplify/ui,2,0,0.000000,False
@aws-amplify/ui-react,0,9,0.000000,True
@aws-amplify/ui-react-core,1,5,0.000000,True
@azure/msal-react,0,0,0.000000,True
@babel/code-frame,1,0,0.000000,False
@babel/core,17,0,0.000000,False
@babel/eslint-parser,3,0,0.000000,False
@babel/generator,3,0,0.000000,False
@babel/helper-annotate-as-pure,3,0,0.000000,False
@babel/helper-builder-react-jsx,0,2,0.000000,True
@babel/helper-module-imports,2,0,0.000000,False
@babel/helper-plugin-utils,4,0,0.000000,False
@babel/helper-validator-option,1,0,0.000000,False
@babel/parser,6,0,0.000000,False
@babel/plugin-proposal-class-properties,1,0,0.000000,False
@babel/plugin-proposal-decorators,1,0,0.000000,False
@babel/plugin-proposal-export-default-from,1,0,0.000000,False
@babel/plugin-proposal-nullish-coalescing-operator,1,0,0.000000,False
@babel/plugin-proposal-numeric-separator,1,0,0.000000,False
@babel/plugin-proposal-optional-chaining,1,0,0.000000,False
@babel/plugin-proposal-private-methods,2,0,0.000000,False
@babel/plugin-proposal-private-property-in-object,1,0,0.000000,False
@babel/plugin-syntax-dynamic-import,1,0,0.000000,False
@babel/plugin-syntax-export-default-from,1,0,0.000000,False
@babel/plugin-syntax-jsx,2,0,0.000000,False
@babel/plugin-syntax-nullish-coalescing-operator,1,0,0.000000,False
@babel/plugin-syntax-optional-chaining,1,0,0.000000,False
@babel/plugin-transform-arrow-functions,2,0,0.000000,False
@babel/plugin-transform-async-generator-functions,1,0,0.000000,False
@babel/plugin-transform-async-to-generator,1,0,0.000000,False
@babel/plugin-transform-block-scoping,1,0,0.000000,False
@babel/plugin-transform-class-properties,2,0,0.000000,False
@babel/plugin-transform-classes,2,0,0.000000,False
@babel/plugin-transform-computed-properties,1,0,0.000000,False
