package,risk_score,in_degree,out_degree,betweenness,is_topN
es-abstract,0.534931,10,54,0.000785,True
tslib,0.500000,62,0,0.000000,True
@babel/helper-plugin-utils,0.467742,58,0,0.000000,True
@smithy/types,0.390249,48,1,0.000001,True
call-bound,0.382129,38,2,0.000183,True
jest-snapshot,0.303511,5,21,0.000532,True
get-intrinsic,0.290993,17,10,0.000328,True
@jest/types,0.284735,23,7,0.000207,True
@jest/transform,0.251456,6,15,0.000419,True
call-bind,0.251171,24,4,0.000121,True
@babel/traverse,0.231984,13,7,0.000280,True
es-errors,0.225806,28,0,0.000000,True
jest-util,0.216164,20,6,0.000099,True
@types/node,0.201331,23,1,0.000034,True
@babel/preset-env,0.200000,0,70,0.000000,True
@babel/core,0.199075,4,15,0.000324,True
debug,0.191845,21,1,0.000051,True
@jest/core,0.187008,2,28,0.000238,True
chalk,0.185484,23,0,0.000000,True
@babel/types,0.181088,18,2,0.000079,True
glob,0.180377,6,6,0.000301,True
define-properties,0.169973,18,3,0.000043,True
@aws-sdk/types,0.167595,20,2,0.000002,True
jest-message-util,0.166199,9,9,0.000178,True
@aws-sdk/core,0.158240,9,13,0.000127,True
@aws-sdk/client-sso,0.145173,1,38,0.000075,True
graceful-fs,0.145161,18,0,0.000000,True
jest-haste-map,0.136532,6,10,0.000156,True
jest-runtime,0.136254,3,22,0.000129,True
jest-config,0.133572,2,24,0.000128,True
babel-plugin-istanbul,0.129811,2,5,0.000260,True
pretty-format,0.128463,12,3,0.000061,True
es-object-atoms,0.126025,15,1,0.000006,True
@babel/helper-compilation-targets,0.121669,5,5,0.000176,True
gopd,0.120968,15,0,0.000000,True
@jridgewell/trace-mapping,0.120764,11,2,0.000069,True
reflect.getprototypeof,0.119487,2,8,0.000211,True
@smithy/protocol-http,0.118618,14,2,0.000000,True
babel-preset-current-node-syntax,0.116852,2,15,0.000151,True
hasown,0.114573,13,1,0.000018,True
semver,0.112903,14,0,0.000000,True
@smithy/property-provider,0.110553,13,2,0.000000,True
@babel/code-frame,0.100298,6,3,0.000113,True
@smithy/smithy-client,0.099703,6,7,0.000082,True
@smithy/node-config-provider,0.098052,10,4,0.000016,True
browserslist,0.097409,4,5,0.000133,True
eslint,0.097143,0,34,0.000000,True
slash,0.096774,12,0,0.000000,True
which-builtin-type,0.096391,1,13,0.000134,True
micromatch,0.096320,6,2,0.000111,True
has-tostringtag,0.095700,11,1,0.000011,True
jest-runner,0.094885,2,22,0.000042,True
@smithy/core,0.093769,5,10,0.000065,True
@babel/generator,0.091602,3,5,0.000139,True
@jest/test-result,0.089752,8,4,0.000036,True
@jest/reporters,0.088578,1,23,0.000039,True
get-proto,0.082592,7,2,0.000053,True
which-typed-array,0.082305,4,7,0.000079,True
@typescript-eslint/typescript-estree,0.081698,3,10,0.000076,True
jest-circus,0.080510,1,20,0.000040,True
is-typed-array,0.077367,7,1,0.000047,True
express,0.077143,0,27,0.000000,True
minimatch,0.076230,8,1,0.000023,True
